bin,Elite Masculino,Categoría A (18-30 años) Masculino,Categoría C (41-50 años) Masculino,Categoría B (31-40 años) Masculino,Categoría D (51-60 años) Masculino,Elite Femenino,Categoría E (61+ años) Masculino,Categoría B (31-40 años) Femenino,Categoría C (41-50 años) Femenino,Categoría A (18-30 años) Femenino,Categoría D (51+ años) Femenino
4:00 - 4:30,20.0,0.7285974499089253,0.18598884066955984,0.5094243504839532,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:30 - 5:00,40.0,10.382513661202186,2.2938623682579045,4.431991849210392,2.3297491039426523,25.0,0.9433962264150944,0.4830917874396135,0.0,0.0,0.0
5:00 - 5:30,24.444444444444443,15.300546448087433,4.835709857408556,12.684666327050435,4.121863799283155,50.0,1.8867924528301887,3.3816425120772946,2.127659574468085,2.7777777777777777,0.0
5:30 - 6:00,11.11111111111111,17.48633879781421,14.63112213267204,16.912888436067245,6.272401433691756,25.0,9.433962264150944,2.898550724637681,1.0638297872340425,7.4074074074074066,0.0
6:00 - 6:30,0.0,15.846994535519126,16.553006819590824,17.116658176260827,14.157706093189965,0.0,10.377358490566039,12.560386473429952,11.702127659574469,11.11111111111111,21.428571428571427
6:30 - 7:00,2.2222222222222223,13.479052823315119,18.598884066955982,14.773306164034642,16.48745519713262,0.0,18.867924528301888,14.975845410628018,10.638297872340425,25.0,42.857142857142854
7:00 - 7:30,2.2222222222222223,11.839708561020036,17.91692498450093,14.263881813550688,23.297491039426525,0.0,22.641509433962266,28.985507246376812,34.04255319148936,24.074074074074073,0.0
7:30 - 8:00,0.0,9.107468123861565,15.809051456912584,10.901681100356598,19.53405017921147,0.0,24.528301886792452,22.705314009661837,25.53191489361702,19.444444444444446,28.57142857142857
8:00 - 8:30,0.0,4.007285974499089,6.881587104773714,5.094243504839532,10.57347670250896,0.0,8.49056603773585,11.11111111111111,13.829787234042554,10.185185185185185,7.142857142857142
8:30 - 9:00,0.0,1.8214936247723135,2.2938623682579045,3.3112582781456954,3.225806451612903,0.0,2.8301886792452833,2.898550724637681,1.0638297872340425,0.0,0.0
