Category,Starting,Starting_%,split_palmas,split_palmas_%,split_km33,split_km33_%,split_raya,split_raya_%,split_km119,split_km119_%,split_final,split_final_%
General,5270,100,5270,100.0,5270,100.0,5270,100.0,5270,100.0,5270,100.0
Elite Masculino,45,100,45,100.0,45,100.0,45,100.0,45,100.0,45,100.0
Categoría A (18-30 años) Masculino,549,100,549,100.0,549,100.0,549,100.0,549,100.0,549,100.0
Categoría C (41-50 años) Masculino,1614,100,1614,100.0,1614,100.0,1614,100.0,1614,100.0,1614,100.0
Categoría B (31-40 años) Masculino,1963,100,1963,100.0,1963,100.0,1963,100.0,1963,100.0,1963,100.0
Categoría D (51-60 años) Masculino,558,100,558,100.0,558,100.0,558,100.0,558,100.0,558,100.0
Elite Femenino,12,100,12,100.0,12,100.0,12,100.0,12,100.0,12,100.0
Categoría E (61+ años) Masculino,106,100,106,100.0,106,100.0,106,100.0,106,100.0,106,100.0
Categoría B (31-40 años) Femenino,207,100,207,100.0,207,100.0,207,100.0,207,100.0,207,100.0
Categoría C (41-50 años) Femenino,94,100,94,100.0,94,100.0,94,100.0,94,100.0,94,100.0
Categoría A (18-30 años) Femenino,108,100,108,100.0,108,100.0,108,100.0,108,100.0,108,100.0
Categoría D (51+ años) Femenino,14,100,14,100.0,14,100.0,14,100.0,14,100.0,14,100.0
